block	mse_v0_vs_v1
B00	0.002229
B01	0.001761
B02	0.001160
B03	0.001437
B04	0.001151
B05	0.000309
B06	0.000283
B07	0.000251
B08	0.000734
B09	0.000568
B10	0.000548
B11	0.000656
B12	0.000555
B13	0.000952
B14	0.001278
B15	0.002294
B16	0.003015
B17	0.001983
B18	0.003946
B19	0.002286
B20	0.000883
B21	0.000615
B22	0.000760
B23	0.000813
B24	0.000408
B25	0.000620
B26	0.001030
B27	0.001400
B28	0.004762
B29	0.005859
B30	0.003535
B31	0.003980
B32	0.001398
B33	0.001162
B34	0.002114
B35	0.000954
B36	0.001098
B37	0.002859
B38	0.004299
B39	0.001765
B40	0.000813
B41	0.001844
B42	0.000688
B43	0.001697
B44	0.000844
B45	0.001474
B46	0.001126
B47	0.001075
B48	0.000842
B49	0.000978
B50	0.000240
B51	0.001174
B52	0.000944
B53	0.000948
B54	0.000899
B55	0.000935
B56	0.000454
B57	0.001344
B58	0.001391
B59	0.001033
