block	mse_v0_vs_v1
J00	0.005682
J01	0.004789
J02	0.002338
J03	0.003550
J04	0.002623
J05	0.000589
J06	0.001234
J07	0.009521
J08	0.000937
J09	0.004838
J10	0.000209
J11	0.002619
J12	0.002112
J13	0.001150
J14	0.001852
J15	0.002429
J16	0.003491
J17	0.003781
J18	0.003578
J19	0.004757
J20	0.005505
J21	0.006217
J22	0.006087
J23	0.003846
J24	0.006661
J25	0.005457
J26	0.006339
J27	0.004487
J28	0.003705
J29	0.002740
J30	0.006148
J31	0.004551
J32	0.004296
J33	0.002719
J34	0.002331
J35	0.000397
J36	0.000960
J37	0.002423
